index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
0,46042150,1,0,4,1,2,1,1,1,0,1,1,1,1,1,12
1,46042002,1,0,3,1,3,1,1,1,0,1,1,1,1,1,16
2,46040898,0,0,3,1,3,1,1,0,0,1,1,1,1,1,8
3,46039877,0,0,1,2,3,3,0,0,0,0,1,1,1,1,27
4,46039306,0,0,2,1,1,3,1,0,0,1,1,1,1,1,2
5,46039304,1,0,1,1,2,1,1,0,0,1,1,1,1,1,2
6,46039303,1,0,1,2,1,1,1,0,0,1,1,1,1,1,6
7,46039302,1,0,1,1,2,2,1,0,0,1,1,1,1,1,10
8,46039301,1,0,1,2,2,2,1,0,0,1,1,1,1,1,5
9,46038709,1,0,1,1,2,2,1,0,0,1,1,1,1,1,3
10,46038708,1,0,1,2,2,2,1,0,0,1,1,1,1,1,32
11,46038703,1,0,1,2,1,1,1,0,0,1,1,1,1,1,31
12,46038700,1,0,1,1,2,2,1,0,0,1,1,1,1,1,11
13,46038243,1,0,3,2,2,1,1,1,0,1,1,1,1,1,4
14,46038070,1,0,2,2,3,2,1,0,0,0,1,1,1,1,2
15,46038064,1,0,3,1,4,3,1,0,0,0,1,1,1,1,20
16,46038065,1,0,3,1,2,2,1,0,0,0,1,1,1,1,32
17,46038067,1,0,3,2,3,3,1,0,0,0,1,1,1,1,18
18,46038068,1,0,2,1,3,1,1,0,0,0,1,1,1,1,11
19,46038060,1,0,2,1,2,1,1,0,0,0,1,1,1,1,3
20,46038062,1,0,2,1,3,2,1,0,0,0,1,1,1,1,4
21,46038063,1,0,3,1,3,3,1,0,0,0,1,1,1,1,10
22,46038061,1,0,1,1,1,1,0,0,0,0,1,1,1,1,8
23,46037951,1,0,1,2,2,1,1,1,0,1,1,1,1,1,32
24,46037918,1,0,1,2,2,1,1,1,0,1,1,1,1,1,11
25,46037881,1,0,4,1,2,2,1,0,1,0,1,1,1,1,25
26,46037860,0,0,3,2,1,1,1,0,0,1,1,1,1,1,16
27,46037820,0,0,4,2,1,1,1,0,0,1,1,1,1,1,28
28,46037762,0,0,4,2,1,1,1,0,0,1,1,1,1,1,20
29,46037742,0,0,4,1,2,4,1,1,0,0,1,1,1,1,10
30,46037637,1,0,3,1,3,2,1,0,0,0,1,1,1,1,19
31,46037534,1,0,4,1,3,1,1,0,0,0,1,1,1,1,26
32,46036459,1,0,2,1,3,2,1,0,0,0,1,1,1,1,24
33,46035351,1,0,3,2,1,3,1,0,0,0,1,1,1,1,28
34,46035350,1,0,3,1,1,3,1,0,0,0,1,1,1,1,16
35,46035353,1,0,3,1,1,2,1,0,0,0,1,1,1,1,29
36,46035346,1,0,2,1,1,4,1,0,0,0,1,1,1,1,16
37,46035344,1,0,2,1,2,3,1,0,0,0,1,1,1,1,26
38,46035342,1,0,3,1,1,2,1,0,0,0,1,1,1,1,28
39,46034532,1,0,2,2,2,1,1,0,0,1,0,1,1,1,26
40,46033962,1,0,3,1,3,2,1,0,0,0,1,1,1,1,5
41,46032651,1,0,4,2,2,1,0,1,0,1,1,1,1,1,9
42,46032592,1,0,3,1,1,3,1,0,0,0,1,1,1,1,8
43,46032594,1,0,3,1,3,3,0,0,0,0,1,1,1,1,16
44,46032595,1,0,2,2,3,4,0,0,0,0,1,1,1,1,24
45,46032596,1,0,3,1,3,3,1,0,0,0,1,1,1,1,5
46,46032588,1,0,3,1,3,3,0,0,0,0,1,1,1,1,8
47,46032587,1,0,2,1,3,4,1,0,0,0,1,1,1,1,26
48,46032589,1,0,2,2,2,3,1,0,0,0,1,1,1,1,33
49,46032253,1,0,3,2,1,2,1,0,0,1,1,1,1,1,32
50,46031946,1,0,2,1,1,5,0,0,0,0,0,1,1,1,8
51,46031507,1,0,3,1,3,1,0,0,0,0,1,1,1,1,8
52,46031797,1,0,2,1,3,3,0,0,0,0,1,1,1,1,9
53,46031796,1,0,2,1,1,1,1,0,0,0,1,1,1,1,13
54,46029444,0,0,2,1,2,2,1,0,0,1,1,0,0,1,29
55,46029446,0,0,4,1,1,3,1,0,0,1,0,1,1,1,23
56,46028152,1,0,1,1,1,3,1,0,0,1,1,1,1,1,7
57,46027977,1,0,1,2,1,4,1,0,0,1,1,1,1,1,19
58,46027945,1,0,1,1,1,3,1,0,0,1,1,1,1,1,10
59,46027921,1,0,1,2,1,4,1,0,0,1,1,1,1,1,12
60,46027872,0,0,2,2,1,3,1,0,0,1,1,1,1,1,28
