index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs,dogfood
0,46042150,1,0,4,1,2,1,1,1,0,1,1,1,1,1,12,25
1,46042002,1,0,3,1,3,1,1,1,0,1,1,1,1,1,16,12
2,46040898,0,0,3,1,3,1,1,0,0,1,1,1,1,1,8,16
3,46039877,0,0,1,2,3,3,0,0,0,0,1,1,1,1,27,34
4,46039306,0,0,2,1,1,3,1,0,0,1,1,1,1,1,2,1
5,46039304,1,0,1,1,2,1,1,0,0,1,1,1,1,1,2,5
6,46039303,1,0,1,2,1,1,1,0,0,1,1,1,1,1,6,19
7,46039302,1,0,1,1,2,2,1,0,0,1,1,1,1,1,10,21
8,46039301,1,0,1,2,2,2,1,0,0,1,1,1,1,1,5,28
9,46038709,1,0,1,1,2,2,1,0,0,1,1,1,1,1,3,3
10,46038708,1,0,1,2,2,2,1,0,0,1,1,1,1,1,32,3
11,46038703,1,0,1,2,1,1,1,0,0,1,1,1,1,1,31,22
12,46038700,1,0,1,1,2,2,1,0,0,1,1,1,1,1,11,4
13,46038243,1,0,3,2,2,1,1,1,0,1,1,1,1,1,4,4
14,46038070,1,0,2,2,3,2,1,0,0,0,1,1,1,1,2,13
15,46038064,1,0,3,1,4,3,1,0,0,0,1,1,1,1,20,17
16,46038065,1,0,3,1,2,2,1,0,0,0,1,1,1,1,32,1
17,46038067,1,0,3,2,3,3,1,0,0,0,1,1,1,1,18,27
18,46038068,1,0,2,1,3,1,1,0,0,0,1,1,1,1,11,7
19,46038060,1,0,2,1,2,1,1,0,0,0,1,1,1,1,3,8
20,46038062,1,0,2,1,3,2,1,0,0,0,1,1,1,1,4,1
21,46038063,1,0,3,1,3,3,1,0,0,0,1,1,1,1,10,39
22,46038061,1,0,1,1,1,1,0,0,0,0,1,1,1,1,8,27
23,46037951,1,0,1,2,2,1,1,1,0,1,1,1,1,1,32,17
24,46037918,1,0,1,2,2,1,1,1,0,1,1,1,1,1,11,28
25,46037881,1,0,4,1,2,2,1,0,1,0,1,1,1,1,25,21
